stage,sample_set,variant,method,method_kind,seed_count,sample_count,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std,source_path
Round2c,round2_diagnostic_balanced_small,top3fold_period_layout,top3fold_period_layout_hard_top1,hard_top1,3,5000,0.38829111258502813,0.0018575346018084651,2.1349669004017193,0.030567961321237163,0.082197557121787,0.001857534601808414,0.5272,0.009750897394599146,1.0800149107618102,0.009100908250338229,0.6710509831442265,0.005654713315963898,0.5310264533281326,0.002449264632561445,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,line_difference_band,line_difference_band_hard_top1,hard_top1,3,5000,0.3949902777830488,0.006353077323969066,2.3514757988939516,0.2029088453021759,0.08889672231980762,0.006353077323969103,0.42173333333333335,0.07583174357307984,1.0772673144091756,0.011878052745690393,0.6693438063609216,0.007380250369936095,0.5310220155656338,0.004961466150333244,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,line_only,line_only_hard_top1,hard_top1,3,5000,0.39501552676938784,0.005786327267144061,2.1849705528276417,0.23926304322059486,0.08892197130614665,0.005786327267144122,0.44493333333333335,0.07368645284808689,1.0583852682712627,0.010644805086726584,0.6576117278668048,0.0066139903920112465,0.5441708230187495,0.005191544645579663,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,spatial_panel_3view,spatial_panel_3view_hard_top1,hard_top1,3,5000,0.39524252763741535,0.0065404149242580065,3.5803697722983743,0.9691719410657346,0.08914897217417417,0.006540414924257943,0.4498,0.06659849848157241,1.0547582887193672,0.012454793728845536,0.6553581599439844,0.0077385981712569715,0.5553040219515563,0.008913751044702807,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,current_rgb_3view,current_rgb_3view_hard_top1,hard_top1,3,5000,0.3958538005782641,0.001272684684968542,2.99965692525026,1.0242083012189243,0.0897602451150229,0.0012726846849686012,0.45106666666666667,0.07459231417065255,1.0662417633396377,0.03508194738242989,0.6624932455828811,0.021797638892379262,0.5366823690543572,0.018903988656070198,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,fft_absolute_energy,fft_absolute_energy_hard_top1,hard_top1,3,5000,0.40193546660630575,0.0020799510237173528,3.08618857002387,1.0360356941149025,0.0958419111430646,0.0020799510237173397,0.3377333333333333,0.009517002329165076,1.0884262413324166,0.01873147758746295,0.6762772344430288,0.01163852097597981,0.5188893022447824,0.007611790838222733,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,top3fold_period_layout,top3fold_period_layout_raw_soft_fusion,raw_soft_fusion,3,5000,0.36618940131721417,0.002018058507710863,2.0719030793159923,0.03871357779337206,0.060095845853973005,0.002018058507710903,0.5272,0.009750897394599146,1.0800149107618102,0.009100908250338229,0.6710509831442265,0.005654713315963898,0.5310264533281326,0.002449264632561445,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,spatial_panel_3view,spatial_panel_3view_raw_soft_fusion,raw_soft_fusion,3,5000,0.37051578790924805,0.00557417703833086,3.3881818068628657,0.9447273281477653,0.06442223244600691,0.005574177038330856,0.4498,0.06659849848157241,1.0547582887193672,0.012454793728845536,0.6553581599439844,0.0077385981712569715,0.5553040219515563,0.008913751044702807,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,line_difference_band,line_difference_band_raw_soft_fusion,raw_soft_fusion,3,5000,0.3718045045791145,0.002428587079737052,2.1648841993933066,0.03927787495766329,0.06571094911587336,0.0024285870797370727,0.42173333333333335,0.07583174357307984,1.0772673144091756,0.011878052745690393,0.6693438063609216,0.007380250369936095,0.5310220155656338,0.004961466150333244,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
Round2c,round2_diagnostic_balanced_small,current_rgb_3view,current_rgb_3view_raw_soft_fusion,raw_soft_fusion,3,5000,0.37270249280108053,0.0011647014379057962,2.7686319687295486,0.9447789877401492,0.06660893733783942,0.0011647014379058487,0.45106666666666667,0.07459231417065255,1.0662417633396377,0.03508194738242989,0.6624932455828811,0.021797638892379262,0.5366823690543572,0.018903988656070198,/data2/syh/Time/run_outputs/2026-06-21_visual_router_v2_round2_layout_screening/round2_layout_diagnostic_summary.csv
